masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,e,mean_o,oovere,oovere_percentile,mmi,mmi_percentile,ASCI.hybrid,PyrethroidSum,PyrethroidSum_OrgNorm,Arsenic,Cadmium,Chromium,Copper,Lead,Mercury,Nickel,Zinc,mPECq,huc,smcshed,smc_lu,latitude,longitude,probabilistic
402BA0079,402BA0079_2008,NA,NA,0.8050079,10.15133708,8.55,0.84225358,0.2,0.76776221,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.41183,-119.27418,TRUE
402BA0095,402BA0095_2008,NA,NA,1.21595066,11.11179491,14.75,1.32741831,0.96,1.10448302,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.46328,-119.34566,TRUE
402BA0143,402BA0143_2008,NA,NA,0.66768291,7.91252585,5.95,0.75197227,0.1,0.58339355,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.36483,-119.31057,TRUE
402BA0287,402BA0287_2008,NA,NA,1.06468889,12.80264413,15.3,1.19506563,0.85,0.93431215,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,SMC_out,34.50284,-119.36644,TRUE
402BA0335,402BA0335_2008,NA,NA,0.7063261,7.91122725,4.65,0.58777227,0.02,0.82487994,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.37965,-119.30751,TRUE
402M00002,402M00002_2015,NA,NA,0.70665225,7.72095355,6,0.77710609,0.12,0.63619841,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.31063,-119.29916,TRUE
402M00005,402M00005_2015,NA,NA,0.9265801,11.16244364,13.65,1.22285052,0.88,0.63030969,0.02,0.94487053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.51364,-119.40097,TRUE
402M00015,402M00015_2016,NA,NA,0.70374329,7.91681135,6.85,0.86524734,0.24,0.54223924,0.01,0.97687863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Agricultural,34.47484,-119.29151,TRUE
402M00029,402M00029_2016,NA,NA,0.35481957,7.91164327,3,0.37918798,0,0.33045117,0,0.83281381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.35798,-119.31172,TRUE
402M00030,402M00030_2017,NA,NA,0.61337874,8.93269349,6,0.6716899,0.04,0.55506759,0.01,1.05470812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Agricultural,34.43881,-119.29959,TRUE
402M00042,402M00042_2017,NA,NA,0.69305172,7.92738392,7,0.88301514,0.27,0.50308831,0,1.17300241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Agricultural,34.46039,-119.28891,TRUE
402M00046,402M00046_2017,NA,NA,0.75998142,8.92588155,7.8,0.87386327,0.25,0.64609957,0.02,0.79405261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.42402,-119.30011,TRUE
402M00058,402M00058_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14611972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Agricultural,34.44552,-119.29586,TRUE
402M00066,402M00066_2018,92.5,102.7777778,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.29325,-119.30742,TRUE
402M00110,402M00110_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04988922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Urban,34.42735,-119.30364,TRUE
402M00114,402M00114_2018,82.5,89.18918919,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.41665,-119.37011,TRUE
402M00127,402M00127_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8193375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Agricultural,34.42503,-119.26342,TRUE
402MTCUNF,402MTCUNF_2012,NA,NA,1.13228109,12.81525115,17.55,1.36946204,0.97,0.89510015,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.5175,-119.3792,TRUE
402PS0048,402PS0048_2008,NA,NA,1.0129977,11.11216318,11.85,1.06639903,0.64,0.95959637,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.53077,-119.40085,TRUE
402S09503,402S09503_2012,NA,NA,0.94066618,8.1769634,9.6,1.17402996,0.82,0.70730241,0.05,0.88591905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.49756745,-119.3391315,TRUE
402WE0536,402WE0536_2000,NA,NA,1.17811418,11.11216318,14.55,1.30937602,0.95,1.04685233,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.5196,-119.40537,TRUE
402WE0803,402WE0803_2001,NA,NA,0.93102511,12.28994177,11.25,0.91538269,0.33,0.94666753,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,Ventura,Open,34.42131,-119.3806,TRUE
403BA0015,403BA0015_2008,NA,NA,1.00684557,7.04899415,7.25,1.02851554,0.56,0.98517561,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,SMC_out,34.5312,-119.18421,TRUE
403BA0027,403BA0027_2008,NA,NA,0.82364139,6.56734593,5.65,0.8603171,0.23,0.78696569,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2014,NA,NA,0.93294154,6.56734593,6.3,0.95929163,0.42,0.90659145,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2015,NA,NA,0.76114771,6.56734593,5.65,0.8603171,0.23,0.66197832,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2016,NA,NA,0.69294723,6.56734593,4.85,0.73850229,0.08,0.64739218,0.02,1.05165078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2017,NA,NA,0.91006,6.56734593,6.9,1.05065274,0.6,0.76946726,0.1,1.11152611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2018,NA,NA,0.78375012,6.56734593,5.45,0.8298634,0.19,0.73763685,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0027,403BA0027_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04017655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.66254,-119.05249,TRUE
403BA0047,403BA0047_2008,NA,NA,0.2808522,7.6849312,2.85,0.37085563,0,0.19084877,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.27084,-119.1524,TRUE
403BA0047,403BA0047_2019,97.5,102.6315789,NA,NA,NA,NA,NA,NA,NA,0.85574941,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.27084,-119.1524,TRUE
403BA0068,403BA0068_2008,NA,NA,0.65440523,11.84108026,6.95,0.58693969,0.01,0.72187077,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.39179,-118.90285,TRUE
403BA0136,403BA0136_2008,NA,NA,1.0730679,9.53764831,10,1.04847649,0.6,1.0976593,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.51202,-118.45038,TRUE
403BA0136,403BA0136_2014,NA,NA,0.79680034,9.53764831,8,0.83878119,0.2,0.75481949,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.51202,-118.45038,TRUE
403BA0136,403BA0136_2015,NA,NA,0.9359094,9.53764831,8,0.83878119,0.2,1.0330376,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.51202,-118.45038,TRUE
403BA0136,403BA0136_2016,NA,NA,1.00809416,9.53764831,8.8,0.92265931,0.34,1.093529,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.51202,-118.45038,TRUE
403BA0140,403BA0140_2008,NA,NA,0.69673002,6.94647642,5.55,0.79896622,0.15,0.59449383,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,SMC_out,34.34574,-118.56398,TRUE
403BA0171,403BA0171_2008,NA,NA,1.04279807,8.03591272,8.1,1.00797511,0.52,1.07762104,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,SMC_out,34.58516,-119.28363,TRUE
403BA0191,403BA0191_2008,NA,NA,0.99192175,10.09508084,11,1.08963962,0.68,0.89420389,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.36762,-119.0538,TRUE
403BA0191,403BA0191_2010,NA,NA,0.92090066,10.09508084,11.8,1.16888613,0.81,0.67291519,0.03,0.93466519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.36762,-119.0538,TRUE
403CE0156,403CE0156_2005,NA,NA,0.5041209,10.67749623,3.85,0.36057142,0,0.64767037,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.37746,-119.05968,TRUE
403CE0156,403CE0156_2016,NA,NA,1.02173896,10.67749623,11,1.03020406,0.56,1.01327385,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.37746,-119.05968,TRUE
403CE0188,403CE0188_2005,NA,NA,0.51462398,10.07427572,4.7,0.46653478,0,0.56271318,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.35646,-119.04752,TRUE
403CE0188,403CE0188_2016,NA,NA,0.92141272,10.07427572,9.8,0.97277465,0.44,0.87005079,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Urban,34.35646,-119.04752,TRUE
403FCA022,403FCA022_2009,NA,NA,0.88910634,7.87214031,8,1.01624205,0.53,0.76197064,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.35671,-119.01988,TRUE
403FCA022,403FCA022_2013,NA,NA,0.67392995,7.87214031,6.3,0.80029061,0.15,0.54756928,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.35671,-119.01988,TRUE
403FCA038,403FCA038_2009,NA,NA,0.60278639,7.72594602,5.45,0.70541523,0.06,0.50015755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,SMC_out,34.42472,-118.55861,TRUE
403M01500,403M01500_2016,NA,NA,0.43150489,9.52378622,4.1,0.43050105,0,0.43250872,0,0.96470634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.29132,-119.14776,TRUE
403M01505,403M01505_2015,NA,NA,0.65127009,8.41594794,6,0.71293217,0.07,0.589608,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.41709,-118.92546,TRUE
403M01506,403M01506_2015,NA,NA,0.71906753,7.87838385,6.8,0.86312118,0.24,0.57501388,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.39739,-118.79347,TRUE
403M01522,403M01522_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58765066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.41442,-118.78842,TRUE
403M01528,403M01528_2016,NA,NA,0.37462963,10.06479278,4,0.39742497,0,0.35183428,0,0.65753873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.27599,-119.14219,TRUE
403M01538,403M01538_2017,NA,NA,0.82583116,11.96798733,10.85,0.90658518,0.31,0.74507713,0.08,1.1016271,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.41199,-118.83067,TRUE
403M01539,403M01539_2009,NA,NA,0.95307786,8.98593528,9.25,1.02938645,0.56,0.87676926,0.25,1.10023583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01539,403M01539_2015,NA,NA,0.81373999,8.98593528,7.85,0.87358742,0.25,0.75389257,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01539,403M01539_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16257279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01539,403M01539_2017,NA,NA,0.98606264,8.98593528,9.8,1.09059321,0.68,0.88153208,0.25,1.1850053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01539,403M01539_2018,NA,NA,0.97853209,8.98593528,9.6,1.06833621,0.64,0.88872797,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01539,403M01539_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14171754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.5485,-119.16547,TRUE
403M01553,403M01553_2017,NA,NA,1.003965,7.91964914,9.8,1.23742856,0.89,0.77050145,0.1,0.83427591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.43845,-118.92539,TRUE
403M01560,403M01560_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93843407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.23545,-119.21253,TRUE
403M01571,403M01571_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05841045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.58667,-119.27994,TRUE
403M01580,403M01580_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96609407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.23495,-119.23075,TRUE
403M01661,403M01661_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99514095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.30608,-119.09618,TRUE
403M05757,403M05757_2015,NA,NA,1.07962684,7.76155295,9.7,1.2497499,0.91,0.90950379,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.54518,-118.43467,TRUE
403M05758,403M05758_2015,NA,NA,0.81188221,7.74939326,7.4,0.95491347,0.41,0.66885095,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.43484,-118.61254,TRUE
403M05771,403M05771_2015,NA,NA,0.8854396,7.73772982,8.15,1.05328051,0.61,0.71759869,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.69939,-118.79476,TRUE
403M05774,403M05774_2016,NA,NA,0.77909306,7.75014216,7.5,0.96772418,0.43,0.59046194,0.01,0.42945332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.42692,-118.62067,TRUE
403M05780,403M05780_2016,NA,NA,0.86151329,9.00305505,10,1.11073407,0.72,0.6122925,0.02,0.87055819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.60452,-118.55686,TRUE
403M05785,403M05785_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89077811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,SMC_out,34.37091,-118.47199,TRUE
403M05795,403M05795_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70793529,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.60898,-118.77961,TRUE
403M05798,403M05798_2018,NA,NA,0.79985485,6.76830222,5.8,0.85693573,0.23,0.74277398,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.3633,-118.42772,TRUE
403M05800,403M05800_2018,NA,NA,0.99139831,6.82566037,7.4,1.08414418,0.67,0.89865244,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.52907,-118.52244,TRUE
403M05832,403M05832_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99120154,0.000884,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.54997,-118.50855,TRUE
403M05844,403M05844_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97790035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.59423,-118.56356,TRUE
403R4S117,403R4S117_2015,NA,NA,0.79130276,7.78226755,6,0.77098352,0.11,0.811622,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.58739,-118.45116,TRUE
403R4S117,403R4S117_2016,NA,NA,0.67490588,7.78226755,6,0.77098352,0.11,0.57882824,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.58739,-118.45116,TRUE
403R4S137,403R4S137_2015,NA,NA,0.39146867,7.8215476,2.95,0.37716321,0,0.40577413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.44605,-118.4892,TRUE
403R4S137,403R4S137_2016,NA,NA,0.39682307,7.8215476,3,0.38355581,0,0.41009033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.44605,-118.4892,TRUE
403R4S193,403R4S193_2015,NA,NA,0.54359062,7.87860823,3.9,0.49501129,0,0.59216995,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.41722,-118.78927,TRUE
403R4S193,403R4S193_2016,NA,NA,0.55273545,7.87860823,3.6,0.4569335,0,0.64853741,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.41722,-118.78927,TRUE
403R4S211,403R4S211_2015,NA,NA,0.86940545,8.89677818,9,1.01160216,0.52,0.72720874,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.57232,-118.46287,TRUE
403S00064,403S00064_2008,NA,NA,0.69071032,7.90740477,5.95,0.75245927,0.1,0.62896138,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.64435,-118.51371,TRUE
403S00064,403S00064_2010,NA,NA,0.95617154,7.90740477,8.85,1.11920412,0.73,0.79313897,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.64435,-118.51371,TRUE
403S00064,403S00064_2014,NA,NA,0.92429827,7.90740477,8.6,1.08758818,0.68,0.76100835,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.64435,-118.51371,TRUE
403S00640,403S00640_2009,NA,NA,0.90286736,8.2541482,6.9,0.83594331,0.19,0.9697914,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.60114,-118.55797,TRUE
