,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,originalid,masterid,huc,smcshed,county,smc_lu,latitude,longitude,probabilistic,SiteDate,Year,OCresult,OrgNorm,RLOC,Class,TEB,LEB,Assessment,RLOC_Eval,TEBq,LEBq,AssessNumeric
1,Allethrin,402M00066_2018,402M00066,125936,7/23/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00074,0.00074,1,None,"""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,402M00066,402,Ventura,Ventura,Urban,34.29325,-119.30742,TRUE,402M00066_2018-07-23,2018,0.00935,0,0.08,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
2,Allethrin,405CE0280_2018,405CE0280,130093,7/2/2018,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,405CE0280,405,San Gabriel,Los Angeles,Open,34.23041,-117.74981,TRUE,405CE0280_2018-07-02,2018,0.0012,0,0.42,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
3,Allethrin,402M00114_2018,402M00114,125816,6/14/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00082,0.00082,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,402M00114,402,Ventura,Ventura,Open,34.41665,-119.37011,TRUE,402M00114_2018-06-14,2018,0.000857,0,0.96,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
4,Allethrin,403BA0047_2019,SMC00047,128983,5/15/2019,grab,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00099,0.00099,9.9,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,SMC_VCWPD_2019,SMC,11/1/2019 11:37,FALSE,NA,403BA0047,403,Santa Clara,Ventura,Urban,34.27084,-119.1524,TRUE,403BA0047_2019-05-15,2019,0.0221,0,0.04,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
5,Allethrin,405CE0280_2017,405CE0280,130029,7/19/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,0.00089,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,405CE0280,405,San Gabriel,Los Angeles,Open,34.23041,-117.74981,TRUE,405CE0280_2017-07-19,2017,0.0041,0,0.22,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
6,Allethrin,SMC00873_2019,SMC00873,126992,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,SMC00873,901,San Juan,Orange,Urban,33.59849,-117.62668,TRUE,SMC00873_2019-05-10,2019,3.00E-04,0,1.67,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
7,Allethrin,SMC01694_2018,SMC01694,131353,8/6/2018,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC01694,845,San Gabriel,Orange,Urban,33.92,-117.90272,TRUE,SMC01694_2018-08-06,2018,0.0024,0,0.21,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
8,Allethrin,SMC01923_2011,SMC01923,20053,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC01923,801,Lower Santa Ana,Orange,Urban,33.67221,-117.78872,TRUE,SMC01923_2011-07-12,2011,0.0015,0,2.33,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
9,Allethrin,SMC00766_2011,SMC00766,20098,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0048,0.0048,1,None,,WKL,NA,SMC,6/11/2018 15:25,TRUE,NA,SMC00766,801,Lower Santa Ana,Orange,Urban,33.65718,-117.83739,TRUE,SMC00766_2011-07-11,2011,0.012,0,0.4,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
10,Allethrin,901M14149_2019,901M14149,127110,5/29/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,901M14149,901,San Juan,Orange,Open,33.56754,-117.74812,TRUE,901M14149_2019-05-29,2019,0.0011,0,0.45,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
11,Allethrin,ME-CC_2018,ME-CC,125887,6/28/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,9.00E-04,9.00E-04,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,ME-CC,408,Calleguas,Ventura,Agricultural,34.17912,-119.03968,TRUE,ME-CC_2018-06-28,2018,0.0344,0,0.03,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
12,Allethrin,SMC00206_2019,SMC00206,127235,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,SMC00206,901,San Juan,Orange,Urban,33.54359,-117.65963,TRUE,SMC00206_2019-06-04,2019,9.00E-04,0,0.56,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
13,Allethrin,SMC00288_2017,SMC00288,130507,6/14/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,0.00089,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC00288,405,San Gabriel,Los Angeles,Urban,34.13118,-117.76,TRUE,SMC00288_2017-06-14,2017,0.0219,0,0.04,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
14,Allethrin,SMC00428_2017,SMC00428,130666,6/15/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,0.00089,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC00428,405,San Gabriel,Los Angeles,Open,34.2481,-118.04976,TRUE,SMC00428_2017-06-15,2017,0.0167,0,0.05,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
15,Allethrin,SMC00464_2017,SMC00464,130801,7/21/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,0.00089,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC00464,405,San Gabriel,Los Angeles,Open,34.24152,-117.86683,TRUE,SMC00464_2017-07-21,2017,0.027,0,0.03,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
16,Allethrin,SMC14099_2013,SMC14099,31453,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC14099,801,Lower Santa Ana,Orange,Urban,33.62772,-117.73558,TRUE,SMC14099_2013-06-13,2013,0.00112,0,3.13,PYR,0.29,2.9,RL Too High,Tragic RL,0,0,2
17,Allethrin,SMC00544_2017,SMC00544,130978,6/14/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,0.00089,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC00544,405,San Gabriel,Los Angeles,Open,34.14677,-117.74153,TRUE,SMC00544_2017-06-14,2017,0.0275,0,0.03,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
18,Allethrin,408BA0036_2018,SMC00036,125818,6/12/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.048,0.048,50,"D,DF,DG","M-02, M-04, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,408BA0036,408,Calleguas,Ventura,Urban,34.21502,-118.87899,TRUE,408BA0036_2018-06-12,2018,0.0103,0,4.66,PYR,0.29,2.9,RL Too High,Tragic RL,0,0,2
19,Allethrin,408BA0660_2018,SMC00660,125820,6/12/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00094,0.00094,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,408BA0660,408,Calleguas,Ventura,Agricultural,34.26784,-118.93781,TRUE,408BA0660_2018-06-12,2018,0.000267,0,3.52,PYR,0.29,2.9,RL Too High,Tragic RL,0,0,2
20,Allethrin,408M03100_2019,408M03100,128982,5/9/2019,grab,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,0,ND,0,0.0082,16.46,"D,DF","M-02, M-04, ""None"" 01/Jan/1950 00:00",WKL,SMC_VCWPD_2019,SMC,11/1/2019 11:37,FALSE,NA,408M03100,408,Calleguas,Ventura,Agricultural,34.1812,-119.0871,TRUE,408M03100_2019-05-09,2019,0.0131,0,0.63,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
21,Allethrin,801M12649_2013,SMC14211,31081,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,801M12649,801,Lower Santa Ana,Orange,Urban,33.6894,-117.82174,TRUE,801M12649_2013-06-04,2013,0.00235,0,1.45,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
22,Allethrin,801M12678_2019,801M12678,127347,4/25/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,801M12678,801,Lower Santa Ana,Orange,Agricultural,33.79594,-117.70467,TRUE,801M12678_2019-04-25,2019,0.0021,0,0.24,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
23,Allethrin,801S02947_2011,SMC02947,20068,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,801S02947,801,Lower Santa Ana,Orange,Urban,33.69919,-117.81143,TRUE,801S02947_2011-07-12,2011,0.0094,0,0.52,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
24,Allethrin,801S03971_2011,SMC03971,20113,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,801S03971,801,Lower Santa Ana,Orange,Urban,33.67551,-117.82775,TRUE,801S03971_2011-07-11,2011,0.02,0,0.2,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
25,Allethrin,901M14145_2019,901M14145,127770,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,901M14145,901,San Juan,Orange,Urban,33.48818,-117.66682,TRUE,901M14145_2019-06-27,2019,9.00E-04,0,0.56,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
26,Allethrin,SMC09118_2013,SMC09118,30727,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC09118,801,Lower Santa Ana,Orange,Urban,33.80876,-117.86259,TRUE,SMC09118_2013-05-22,2013,0.00474,0,0.8,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
27,Allethrin,SMC13187_2013,SMC13187,31069,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC13187,801,Lower Santa Ana,Orange,Urban,33.67808,-117.80245,TRUE,SMC13187_2013-06-04,2013,0.00065,0,4.92,PYR,0.29,2.9,RL Too High,Tragic RL,0,0,2
28,Allethrin,SMC13214_2013,SMC13214,30739,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC13214,801,Lower Santa Ana,Orange,Urban,33.80453,-117.87242,TRUE,SMC13214_2013-05-22,2013,0.00379,0,1.06,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
29,Allethrin,SMC02206_2011,SMC02206,20083,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC02206,801,Lower Santa Ana,Orange,Urban,33.87098,-117.85002,TRUE,SMC02206_2011-07-19,2011,0.0033,0,1.24,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
30,Allethrin,SMC09091_2013,SMC09091,31712,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,NA,SMC09091,801,Lower Santa Ana,Orange,Urban,33.71335,-117.79574,TRUE,SMC09091_2013-06-27,2013,0.00505,0,0.71,PYR,0.29,2.9,Possible or Unlikely,Poor RL,0,0,4
31,Allethrin,SMC00686_2019,SMC00686,132097,8/7/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,SMC00686,405,San Gabriel,Los Angeles,Urban,34.0322,-117.83819,TRUE,SMC00686_2019-08-07,2019,0.0097,0,0.05,PYR,0.29,2.9,Unlikely_ND,GoodRL,0,0,6
32,Bifenthrin,404S37670_2013,404S37670,104539,6/6/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00083,=,4.70E-05,0.000185,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S37670,404,Santa Monica Bay,Los Angeles,Urban,34.14074,-118.70117,TRUE,404S37670_2013-06-06,2013,0.0036,0.23,0.05,PYR,0.17,0.6,Possible,GoodRL,1.352941176,0.383333333,3
33,Bifenthrin,404S34230_2013,404S34230,67538,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000492,DNQ,0.00022,0.000874,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S34230,404,Santa Monica Bay,Los Angeles,Open,34.06909,-118.58678,TRUE,404S34230_2013-06-19,2013,0.0843,0.01,0.01,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
