"","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","analytename","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","county","smc_lu","latitude","longitude","probabilistic","SiteDate","Year"
"1","402M00066_2018","402M00066",125920,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Permethrin, Total","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"2","402M00066_2018","402M00066",125928,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Esfenvalerate","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"3","402M00066_2018","402M00066",125931,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cypermethrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"4","402M00066_2018","402M00066",125917,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Tefluthrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"5","402M00066_2018","402M00066",125918,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Prallethrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"6","402M00066_2018","402M00066",125936,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Allethrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"7","402M00066_2018","402M00066",125935,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cyfluthrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"8","402M00066_2018","402M00066",125933,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Deltamethrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"9","402M00066_2018","402M00066",125919,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Sumithrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"10","402M00066_2018","402M00066",125934,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Bifenthrin","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018
"11","402M00114_2018","402M00114",125823,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Bifenthrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"12","402M00114_2018","402M00114",125794,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Prallethrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"13","402M00114_2018","402M00114",125816,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Allethrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"14","402M00114_2018","402M00114",125838,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cypermethrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"15","402M00114_2018","402M00114",125799,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Sumithrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"16","402M00114_2018","402M00114",125789,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Tefluthrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"17","402M00114_2018","402M00114",125809,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Permethrin, Total","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"18","402M00114_2018","402M00114",125828,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cyfluthrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"19","402M00114_2018","402M00114",125848,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Deltamethrin","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"20","402M00114_2018","402M00114",125869,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Esfenvalerate","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018
"21","403BA0047_2019","SMC00047",129032,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Tefluthrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"22","403BA0047_2019","SMC00047",129021,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Permethrin, total","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"23","403BA0047_2019","SMC00047",129029,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Sumithrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"24","403BA0047_2019","SMC00047",128986,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Bifenthrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"25","403BA0047_2019","SMC00047",129026,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Prallethrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"26","403BA0047_2019","SMC00047",129001,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Deltamethrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"27","403BA0047_2019","SMC00047",129009,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Esfenvalerate","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"28","403BA0047_2019","SMC00047",128989,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cyfluthrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"29","403BA0047_2019","SMC00047",128995,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cypermethrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"30","403BA0047_2019","SMC00047",128983,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Allethrin","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019
"31","403M01538_2017","403M01538",49045,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Deltamethrin","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"32","403M01538_2017","403M01538",49053,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Permethrin, Total","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"33","403M01538_2017","403M01538",49043,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Esfenvalerate","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"34","403M01538_2017","403M01538",49050,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Bifenthrin","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"35","403M01538_2017","403M01538",49049,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cyfluthrin","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"36","403M01538_2017","403M01538",49047,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Cypermethrin","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017
"37","403M05795_2017","403M05795",49752,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Bifenthrin","Total","ug/g dw",-88,"ND",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Los Angeles","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017
"38","403M05795_2017","403M05795",49755,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Cyfluthrin","Total","ug/g dw",-88,"ND",0.00025,8e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Los Angeles","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017
