"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","county","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"16","Allethrin","SMC14099_2013","SMC14099",31453,2013-06-13,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0035,0.0035,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:56,"true",NA,"SMC14099",801,"Lower Santa Ana","Orange","Urban",33.62772,-117.73558,"true","SMC14099_2013-06-13",2013,0.00112,0,3.13,"PYR",0.29,2.9,"RL Too High","Tragic RL",0,0,2
"128","Bifenthrin","SMC13214_2013","SMC13214",30740,2013-05-22,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",0.0045,NA,0.004,0.004,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:55,"true",NA,"SMC13214",801,"Lower Santa Ana","Orange","Urban",33.80453,-117.87242,"true","SMC13214_2013-05-22",2013,0.00379,1.19,1.06,"PYR",0.17,0.6,"Likely","Tragic RL",7,1.98333333333333,1
"27","Allethrin","SMC13187_2013","SMC13187",31069,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0032,0.0032,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:55,"true",NA,"SMC13187",801,"Lower Santa Ana","Orange","Urban",33.67808,-117.80245,"true","SMC13187_2013-06-04",2013,0.00065,0,4.92,"PYR",0.29,2.9,"RL Too High","Tragic RL",0,0,2
"126","Bifenthrin","SMC09118_2013","SMC09118",30728,2013-05-22,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",0.0041,NA,0.0038,0.0038,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:50,"true",NA,"SMC09118",801,"Lower Santa Ana","Orange","Urban",33.80876,-117.86259,"true","SMC09118_2013-05-22",2013,0.00474,0.86,0.8,"PYR",0.17,0.6,"Likely","Tragic RL",5.05882352941176,1.43333333333333,1
"125","Bifenthrin","SMC09091_2013","SMC09091",31713,2013-06-27,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",0.0078,NA,0.0036,0.0036,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:49,"true",NA,"SMC09091",801,"Lower Santa Ana","Orange","Urban",33.71335,-117.79574,"true","SMC09091_2013-06-27",2013,0.00505,1.54,0.71,"PYR",0.17,0.6,"Likely","Tragic RL",9.05882352941176,2.56666666666667,1
"124","Bifenthrin","SMC02206_2011","SMC02206",20084,2011-07-19,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0041,0.0041,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:22,"true",NA,"SMC02206",801,"Lower Santa Ana","Orange","Urban",33.87098,-117.85002,"true","SMC02206_2011-07-19",2011,0.0033,0,1.24,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
"83","Bifenthrin","SMC01923_2011","SMC01923",20054,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0035,0.0035,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:17,"true",NA,"SMC01923",801,"Lower Santa Ana","Orange","Urban",33.67221,-117.78872,"true","SMC01923_2011-07-12",2011,0.0015,0,2.33,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
"82","Bifenthrin","SMC01694_2018","SMC01694",131354,2018-08-06,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",0.00197,"=",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC01694",845,"San Gabriel","Orange","Urban",33.92,-117.90272,"true","SMC01694_2018-08-06",2018,0.0024,0.82,0.21,"PYR",0.17,0.6,"Likely","Poor RL",4.82352941176471,1.36666666666667,1
"498","Deltamethrin","SMC01384_2017","SMC01384",49769,2017-06-07,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:08,"true",NA,"SMC01384",404,"Santa Monica Bay","Los Angeles","Open",34.0646,-118.70091,"true","SMC01384_2017-06-07",2017,0.0298,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"80","Bifenthrin","SMC00873_2019","SMC00873",127031,2019-05-10,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",0.000327,"DNQ",0.00022,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"SMC00873",901,"San Juan","Orange","Urban",33.59849,-117.62668,"true","SMC00873_2019-05-10",2019,3e-04,1.09,1.67,"PYR",0.17,0.6,"Likely","Tragic RL",6.41176470588235,1.81666666666667,1
