StationCode,ChannelClass_3ef,Latitude,Longitude,Distance to upstream undeveloped,comments
402BA0031,Natural,34.44652,-119.29227,,
402BA0079,Natural,34.41183,-119.27418,,
402BA0095,Natural,34.46328,-119.34566,,
402BA0143,All or partially earthen,34.36483,-119.31057,,
402BA0287,Natural,34.50284,-119.36644,,
402BA0335,Natural,34.37965,-119.30751,,
402M00002,Natural,34.31063,-119.29916,,
402M00005,Natural,34.51364,-119.40097,,
402M00009,Natural,34.41824,-119.37505,,
402PS0048,Natural,34.53077,-119.40085,,
SMC02591,Natural,34.51783,-119.37846,,
SMC04795,Natural,34.47989,-119.17067,,
SMC05199,Natural,34.40412,-119.28071,,
SMC05407,Natural,34.50124,-119.35043,,
SMC06863,Natural,34.49417,-119.30534,,
SMC08655,All or partially earthen,34.50823,-119.28406,,
SMC09503,Natural,34.49757,-119.33913,,
SMC11343,All or partially earthen,34.3728,-119.30859,,
SMC13391,Natural,34.41791,-119.26998,,
SMC13599,Natural,34.49889,-119.34172,,
SMC16446,Natural,34.41319,-119.27282,,
SMC16980,Natural,34.43268,-119.24974,,
402SNPMCR,Natural,34.50509,-119.37741,,
402WE0536,Natural,34.5196,-119.40537,,
402WE0803,Natural,34.42131,-119.3806,,
402WER001,Natural,34.50528,-119.27806,,
SMC00027,Natural,34.66254,-119.05249,,
403BA0047,All or partially earthen,34.27084,-119.1524,,
403BA0136,Natural,34.51202,-118.45038,,
403BA0171,Natural,34.58516,-119.28363,,
403CE0156,Natural,34.37746,-119.05968,,
403CE0188,All or partially earthen,34.35646,-119.04752,,
403FCA022,Natural,34.35671,-119.01988,,
403M01505,All or partially earthen,34.41709,-118.92546,,
403M01506,Natural,34.39739,-118.79347,,
403M05757,Natural,34.54518,-118.43467,,
403M05758,Natural,34.43484,-118.61254,,
403M05771,Natural,34.69939,-118.79476,,
403PRCAGH,Natural,34.69449,-118.92051,,
403R4S117,Natural,34.58739,-118.45116,,
403R4S137,Hardened,34.44605,-118.4892,4.5km,
SMC01164,Natural,34.35078,-118.57968,,
SMC01215,Natural,34.33968,-119.06784,,
403R4S211,All or partially earthen,34.57232,-118.46287,,
SMC01979,Natural,34.45205,-119.13624,,
SMC02075,Natural,34.6719,-119.03758,,
SMC02139,Natural,34.6714,-119.01717,,
403S02363,Natural,34.55885,-119.15456,,
SMC02888,Natural,34.54401,-118.43626,,
SMC04432,Natural,34.41089,-118.14881,,
SMC04956,Natural,34.42708,-118.57409,,
SMC05296,Natural,34.55457,-118.77525,,
403S06139,Natural,34.55464,-119.2405,,
403S06315,Natural,34.59223,-119.31033,,
403S07227,Natural,34.56208,-119.16664,,
SMC08540,All or partially earthen,34.44828,-118.61769,,
SMC16892,Natural,34.41043,-118.66107,,
SMC17378,Natural,34.40267,-118.68412,,
403STC008,All or partially earthen,34.38667,-118.90528,,
403STC009,Natural,34.53833,-118.75889,,
403STC010,Natural,34.53306,-119.15833,,
403STC016,Natural,34.23556,-119.24083,,
403STC017,Natural,34.68889,-118.9025,,
403STC021,Natural,34.64667,-119.06944,,
403STC022,Natural,34.555,-119.20472,,
403STC024,Natural,34.45056,-119.05583,,
403STC025,Natural,34.66528,-119.05111,,
403STC026,Natural,34.55889,-119.26861,,
403STC028,Natural,34.43722,-119.08583,,
403STC030,Natural,34.57,-119.15556,,
403STC064,Natural,34.55806,-119.10361,,
403STC066,Natural,34.585,-119.16472,,
403STC069,Natural,34.68111,-119.02111,,
403STC070,Natural,34.56667,-119.26278,,
403STC071,Natural,34.68278,-118.84361,,
403STC076,Natural,34.42472,-118.76278,,
403STC082,Natural,34.33583,-119.06833,,
403STC085,Natural,34.6425,-119.0775,,
403STC086,Natural,34.55667,-119.20611,,
403STC090,All or partially earthen,34.37889,-119.0625,,
403STC093,Natural,34.70806,-118.97333,,
403STCEST,Natural,34.23557,-119.21674,,
403STCNRB,Natural,34.40138,-118.70012,,
403STCPRU,Natural,34.40894,-118.78483,,
403STCSSP,Natural,34.39414,-118.94096,,
403WE0501,Natural,34.54172,-118.77286,,
403WE0534,Natural,34.61359,-118.77983,,
403WE0535,Natural,34.43957,-118.75907,,
403WE0540,Natural,34.65136,-119.11845,,
403WE0560,Natural,34.55841,-119.14079,,
403WE0682,Natural,34.57066,-118.38974,,
403WE0683,Natural,34.43952,-119.07616,,
403WE0795,Natural,34.6408,-119.08094,,
403WE0809,Natural,34.5515,-119.20811,,
403WE0891,Natural,34.65926,-119.14255,,
403WE0905,Natural,34.55734,-119.24876,,
403WE1021,Natural,34.63193,-118.52977,,
403WE1027,Natural,34.72654,-119.02842,,
404BA0084,Natural,34.09079,-118.94926,,
404M04532,All or partially earthen,34.1744,-118.78748,,
404M07346,Natural,33.8024,-118.39639,,
404M07349,Natural,34.07803,-118.70166,,
404R4S009,Natural,34.17601,-118.76169,,
404R4S070,Natural,34.042,-118.89747,,
404R4S089,Hardened,33.98426,-118.41426,-99,ended in developed area
SMC04750,Natural,34.041,-118.58149,,
SMC05902,Hardened,34.03432,-118.51218,10.5km,
SMC11384,Natural,34.09552,-118.66521,,
