,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
1217,402BA0079,402BA0079_2008,NA,NA,0.8050079,NA,NA,402,Ventura,Urban,34.41183,-119.27418,TRUE
1218,402BA0079,402BA0079_2008,NA,NA,0.8050079,NA,NA,402,Ventura,Urban,34.41183,-119.27418,TRUE
1219,402BA0095,402BA0095_2008,NA,NA,1.21595066,NA,NA,402,Ventura,Open,34.46328,-119.34566,TRUE
1220,402BA0095,402BA0095_2008,NA,NA,1.21595066,NA,NA,402,Ventura,Open,34.46328,-119.34566,TRUE
1221,402BA0143,402BA0143_2008,NA,NA,0.66768291,NA,NA,402,Ventura,Urban,34.36483,-119.31057,TRUE
1222,402BA0143,402BA0143_2008,NA,NA,0.66768291,NA,NA,402,Ventura,Urban,34.36483,-119.31057,TRUE
1223,402BA0287,402BA0287_2008,NA,NA,1.06468889,NA,NA,402,Ventura,SMC_out,34.50284,-119.36644,TRUE
1224,402BA0287,402BA0287_2008,NA,NA,1.06468889,NA,NA,402,Ventura,SMC_out,34.50284,-119.36644,TRUE
1225,402BA0335,402BA0335_2008,NA,NA,0.7063261,NA,NA,402,Ventura,Urban,34.37965,-119.30751,TRUE
1226,402BA0335,402BA0335_2008,NA,NA,0.7063261,NA,NA,402,Ventura,Urban,34.37965,-119.30751,TRUE
1227,402M00002,402M00002_2015,NA,NA,0.70665225,NA,NA,402,Ventura,Urban,34.31063,-119.29916,TRUE
1228,402M00005,402M00005_2015,NA,NA,0.9265801,0.94487053,NA,402,Ventura,Open,34.51364,-119.40097,TRUE
1229,402M00015,402M00015_2016,NA,NA,0.70374329,0.97687863,NA,402,Ventura,Agricultural,34.47484,-119.29151,TRUE
1230,402M00029,402M00029_2016,NA,NA,0.35481957,0.83281381,NA,402,Ventura,Urban,34.35798,-119.31172,TRUE
1231,402M00030,402M00030_2017,NA,NA,0.61337874,1.05470812,NA,402,Ventura,Agricultural,34.43881,-119.29959,TRUE
1232,402M00042,402M00042_2017,NA,NA,0.69305172,1.17300241,NA,402,Ventura,Agricultural,34.46039,-119.28891,TRUE
1233,402M00043,402M00043_2016,NA,NA,NA,0.89701459,NA,402,Ventura,Open,34.50161,-119.34749,TRUE
1235,402M00046,402M00046_2017,NA,NA,0.75998142,0.79405261,NA,402,Ventura,Urban,34.42402,-119.30011,TRUE
1236,402M00058,402M00058_2019,NA,NA,NA,1.14611972,NA,402,Ventura,Agricultural,34.44552,-119.29586,TRUE
1237,402M00066,402M00066_2018,92.5,102.7777778,NA,NA,NA,402,Ventura,Urban,34.29325,-119.30742,TRUE
1238,402M00110,402M00110_2019,NA,NA,NA,1.04988922,NA,402,Ventura,Urban,34.42735,-119.30364,TRUE
1239,402M00114,402M00114_2018,82.5,89.18918919,NA,NA,NA,402,Ventura,Open,34.41665,-119.37011,TRUE
1240,402M00127,402M00127_2019,NA,NA,NA,0.8193375,NA,402,Ventura,Agricultural,34.42503,-119.26342,TRUE
