,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,masterid,huc,smcshed,smc_lu,latitude,longitude,SiteDate,Year,OCresult,OrgNorm,Class,LEB,TEB,Assessment,PyrQuotientLEB,PyrQuotientTEB,RLOC,RLEvalLEB,RLEvalTEB
41,Bifenthrin,403S34646_2013,403S34646,62775,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.229,=,0.00287,0.0114,20,"D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S34646,403,Santa Clara,Agricultural,34.42556,-118.56616,403S34646_2013-06-25,2013,0.0923,2.481040087,PYR,0.6,0.17,Likely,4.135066811,14.59435345,0.123510293,ok,ok
67,Bifenthrin,404S31468_2012,404S31468,104214,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.22,=,0.000303,0.0012,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S31468,404,Santa Monica Bay,Urban,34.16874,-118.76171,404S31468_2012-06-19,2012,0.1041,2.113352546,PYR,0.6,0.17,Likely,3.522254243,12.43148556,0.011527378,ok,ok
72,Bifenthrin,801M16973_2018,801M16973,126158,6/6/2018,grab,sediment,1,1,EPA 8270D_NCI,None,ug/g dw,0.144,=,0.00022,5.00E-04,1,None,,PEL,NA,SMC,11/30/2018 13:35,TRUE,801M16973,801,Middle Santa Ana,Urban,33.93481,-117.34516,801M16973_2018-06-06,2018,0.0976,1.475409836,PYR,0.6,0.17,Likely,2.459016393,8.678881389,0.005122951,ok,ok
85,Bifenthrin,404S18666_2011,404S18666,66875,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00597,=,0.000327,0.000653,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S18666,404,Santa Monica Bay,Urban,34.17206,-118.76375,404S18666_2011-06-15,2011,0.004,1.4925,PYR,0.6,0.17,Likely,2.4875,8.779411765,0.16325,ok,ok
90,Bifenthrin,901S11685_2012,901S11685,84873,5/31/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0262,=,0.000171,0.000678,1,"H,PJM",NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,901S11685,901,San Juan,Urban,33.5099,-117.6348,901S11685_2012-05-31,2012,0.0172,1.523255814,PYR,0.6,0.17,Likely,2.53875969,8.960328317,0.039418605,ok,ok
95,Bifenthrin,904S12185_2011,904S12185,85912,5/24/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00684,=,0.000391,0.000783,1,IL,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,904S12185,904,Central San Diego,Agricultural,33.09918,-117.13013,904S12185_2011-05-24,2011,0.007,0.977142857,PYR,0.6,0.17,Likely,1.628571429,5.74789916,0.111857143,ok,ok
97,Bifenthrin,404S34120_2012,404S34120,104326,6/21/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0327,=,0.000105,0.000417,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S34120,404,Santa Monica Bay,Urban,34.16558,-118.78918,404S34120_2012-06-21,2012,0.0163,2.006134969,PYR,0.6,0.17,Likely,3.343558282,11.80079394,0.025582822,ok,ok
106,Bifenthrin,404S26670_2012,404S26670,67135,6/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0195,=,9.30E-05,0.000369,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S26670,404,Santa Monica Bay,Urban,34.16385,-118.76205,404S26670_2012-06-18,2012,0.0235,0.829787234,PYR,0.6,0.17,Likely,1.382978723,4.881101377,0.015702128,ok,ok
109,Bifenthrin,404S35270_2012,404S35270,67579,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0272,=,0.00014,0.000557,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35270,404,Santa Monica Bay,Urban,34.13325,-118.70656,404S35270_2012-06-20,2012,0.0378,0.71957672,PYR,0.6,0.17,Likely,1.199294533,4.232804233,0.01473545,ok,ok
692,Permethrin,403S39062_2013,403S39062,62850,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.2212,=,0.000851,0.0022,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S39062,403,Santa Clara,Agricultural,34.4323,-118.61744,403S39062_2013-06-25,2013,0.0083,26.65060241,PYR,9.3,0.42,Likely,2.865656173,63.45381526,0.265060241,ok,ok
25,Bifenthrin,903M20214_2018,903M20214,126468,5/8/2018,grab,sediment,1,1,EPA 8270C,None,ug/g dw,0.0178,=,0.00022,5.00E-04,1,None,,PEL,NA,SMC,1/14/2019 9:09,TRUE,903M20214,903,Northern San Diego,Urban,33.21936,-117.35881,903M20214_2018-05-08,2018,0.0618,0.28802589,PYR,0.6,0.17,Possible,0.48004315,1.694269941,0.008090615,ok,ok
