"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"79","Bifenthrin","403M05795_2017","403M05795",49752,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.02,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"215","Cyfluthrin","403M05795_2017","403M05795",49755,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00025,8e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.017,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"278","Cypermethrin","403M05795_2017","403M05795",49763,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.019,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"382","Deltamethrin","403M05795_2017","403M05795",49767,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.02,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"486","Esfenvalerate","403M05795_2017","403M05795",49772,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.019,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"619","Fenpropathrin","403M05795_2017","403M05795",49776,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00021,0.00066,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.01,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"765","Permethrin","403M05795_2017","403M05795",49791,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00017,0.00055,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.01,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"80","Bifenthrin","403M05832_2019","403M05832",129481,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.000884,"=",0.00022,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0.02,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"216","Cyfluthrin","403M05832_2019","403M05832",129510,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.009,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"279","Cypermethrin","403M05832_2019","403M05832",129518,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.009,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"383","Deltamethrin","403M05832_2019","403M05832",129522,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.01,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"487","Esfenvalerate","403M05832_2019","403M05832",129526,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.009,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"620","Fenpropathrin","403M05832_2019","403M05832",129530,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00021,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.01,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"766","Permethrin","403M05832_2019","403M05832",129628,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0,0.01,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"767","Permethrin","403S01136_2011","403S01136",98540,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0162,"ND",0.00113,0.00227,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,1.74,0.24,"PYR",0.42,9.3,"Possible","GoodRL",4.14285714285714,0.187096774193548,3
