"masterid","stationid","latitude","longitude","huc","county","smcshed","smc_lu","probabilistic","objectid","sampleid","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","Year","MasterYear"
"801SAN474","SMCR8_474",34.24826,-117.62775,801,"San Bernardino","Middle Santa Ana","Open","true",6335,"SMCR8_474_07052009_BMI_RWB_1",2009-07-05 00:00:00,7,5,2009,"BMI_RWB",1,NA,635,20,20,13.22834646,24.24242424,12.38850167,9.7,0.78298411,0.13,0.89565755,0.28,0.83932083,0.16,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"801SAN474_2009"
"801WMC572","SMCR8_572",34.0772,-117.29323,801,"San Bernardino","Upper Santa Ana","Urban","true",6346,"SMCR8_572_06302009_BMI_RWB_1",2009-06-30 00:00:00,6,30,2009,"BMI_RWB",1,NA,569,20,20,14.58699473,27.5862069,7.79519229,3,0.3848526,0,0.76495522,0.09,0.57490391,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"801WMC572_2009"
"904CBSAM5","904S02585",33.09086,-117.2447,904,"San Diego","Central San Diego","Urban","true",5179,"904S02585_05192010_BMI_RWB_1",2010-05-19 00:00:00,5,19,2010,"BMI_RWB",1,NA,558,20,20,0.35842294,3.33333333,7.61555487,7.95,1.04391606,0.59,0.62905762,0.02,0.83648684,0.15,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"904CBSAM5_2010"
"801SDC180","801SDC180",33.6735501,-117.790901,801,"Orange","Lower Santa Ana","Urban","true",4650,"801SDC180_06042014_BMI_RWB_MCM_1",2014-06-04 00:00:00,6,4,2014,"BMI_RWB_MCM",1,NA,600,20,20,0.16666667,10,8.20577545,2.85,0.34731635,0,0.28455464,0,0.31593549,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"801SDC180_2014"
"801SDC180","801SDC180",33.6735501,-117.790901,801,"Orange","Lower Santa Ana","Urban","true",4651,"801SDC180_06202006_BMI_RWB_1",2006-06-20 00:00:00,6,20,2006,"BMI_RWB",1,NA,499,1,20,1.20240481,19.04761905,8.20577545,6.95,0.84696444,0.21,0.55702849,0.01,0.70199646,0.03,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,"801SDC180_2006"
"408CGCS13","408WE0654",34.16522,-119.09069,408,"Ventura","Calleguas","Agricultural","true",2222,"408WE0654_06132001_BMI_CSBP_Trans_1",2001-06-13 00:00:00,6,13,2001,"BMI_CSBP_Trans",1,NA,920,20,20,1.08695652,6.25,7.51148843,4.3,0.57245645,0.01,0.51648834,0,0.5444724,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"408CGCS13_2001"
"408CGCS13","408WE0654",34.16522,-119.09069,408,"Ventura","Calleguas","Agricultural","true",2223,"408WE0654_06132001_BMI_RWB_1",2001-06-13 00:00:00,6,13,2001,"BMI_RWB",1,NA,503,20,20,2.7833002,4.16666667,7.51148843,4,0.53251763,0.01,0.26085282,0,0.39668522,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"408CGCS13_2001"
"408CGCS13","408WE0654",34.16522,-119.09069,408,"Ventura","Calleguas","Agricultural","true",2224,"408WE0654_06132001_BMI_TRC_1",2001-06-13 00:00:00,6,13,2001,"BMI_TRC",1,NA,497,1,20,2.01207243,5.55555556,7.51148843,5,0.66564703,0.04,0.39660074,0,0.53112389,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"408CGCS13_2001"
"403R4S137","403R4S137",34.44605,-118.4892,403,"Los Angeles","Santa Clara","Agricultural","true",1826,"403R4S137_04282015_BMI_RWB_1",2015-04-28 00:00:00,4,28,2015,"BMI_RWB",1,NA,591,20,20,0,0,7.8215476,2.95,0.37716321,0,0.40577413,0,0.39146867,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"false","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"403R4S137_2015"
"403R4S137","403R4S137",34.44605,-118.4892,403,"Los Angeles","Santa Clara","Agricultural","true",1827,"403R4S137_05032016_BMI_RWB_1",2016-05-03 00:00:00,5,3,2016,"BMI_RWB",1,NA,575,20,20,0,0,7.8215476,3,0.38355581,0,0.41009033,0,0.39682307,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"false","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"403R4S137_2016"
